"Color","Category","Size","Currency","Value","Price","Vintage","Wine","Locale","Producer","Varietal"
"White","Sparkling","750ml","USD","116.0195","0","2013","J. Lassalle Champagne Premier Cru Special Club","France, Champagne, Champagne Premier Cru","J. Lassalle","Champagne Blend"
"White","Dry","750ml","USD","65.5728","0","2023","Roland Lavantureux Chablis 1er Cru Beauroy","France, Burgundy, Chablis, Chablis 1er Cru","Roland Lavantureux","Chardonnay"
"White","Dry","750ml","USD","45.7831","0","2022","Roland Lavantureux Chablis Vieilles Vignes","France, Burgundy, Chablis","Roland Lavantureux","Chardonnay"
"Red","Dry","750ml","USD","129.6376","0","2017","Château Le Dôme","France, Bordeaux, Libournais, Saint-Émilion Grand Cru","Château Le Dôme","Red Bordeaux Blend"
"White","Dry","750ml","USD","92.9656","0","2020","Leeuwin Estate Chardonnay Art Series","Australia, Western Australia, South West Australia, Margaret River","Leeuwin Estate","Chardonnay"
"White","Dry","750ml","USD","355.4436","0","2021","Domaine Leflaive Puligny-Montrachet 1er Cru Clavoillon","France, Burgundy, Côte de Beaune, Puligny-Montrachet 1er Cru","Domaine Leflaive","Chardonnay"
"Red","Dry","750ml","USD","84.1828","0","2022","Domaine Lignier-Michelot Chambolle-Musigny Vieilles Vignes","France, Burgundy, Côte de Nuits, Chambolle-Musigny","Domaine Lignier-Michelot","Pinot Noir"
"White","Dry","750ml","USD","63.3099","0","2022","Carl Loewen Riesling 1896","Germany, Mosel Saar Ruwer","Carl Loewen","Riesling"
"Red","Dry","750ml","USD","115.2777","0","2018","Luce della Vite Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Luce della Vite","Sangiovese"
"White","Sparkling","750ml","USD","137.5005","0","2015","Nicolas Maillart Champagne Premier Cru Franc de Pied Les Coupés","France, Champagne, Champagne Premier Cru","Nicolas Maillart","Pinot Noir"
"White","Sparkling","750ml","USD","78.318","0","2019","Nicolas Maillart Champagne Premier Cru Villers-Allerand Montchenot","France, Champagne, Champagne Premier Cru","Nicolas Maillart","Pinot Noir"
"Rosé","Sparkling","750ml","USD","57.6703","0","1001","Nicolas Maillart Champagne Rosé","France, Champagne","Nicolas Maillart","Champagne Blend"
"White","Dry","750ml","USD","80.8942","0","2022","Manuel Moldes Rías Baixas As Dunas","Spain, Galicia, Rías Baixas","Manuel Moldes","Albariño"
"White","Dry","750ml","USD","64.64","0","2022","Manuel Moldes Rías Baixas Peai","Spain, Galicia, Rías Baixas","Manuel Moldes","Albariño"
"Red","Dry","750ml","USD","99.4909","0","2018","Il Marroneto Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Il Marroneto","Sangiovese"
"Red","Dry","750ml","USD","131.9603","0","2020","Matthiasson Cabernet Sauvignon Phoenix Vineyard","USA, California, Napa Valley","Matthiasson","Cabernet Sauvignon"
